Date,Close/Last,Volume,Open,High,Low
06/05/2023,144.31,6727936,145.28,145.75,143.595
06/02/2023,146.14,6765033,147.89,148.1801,145.29
06/01/2023,146.50,7272666,144.86,147.79,143.80
05/31/2023,144.33,10728720,145.74,147.34,144.08
05/30/2023,148.07,13295430,150.65,151.71,147.50
05/26/2023,147.36,12978760,141.79,148.33,141.78
05/25/2023,140.46,16072920,137.93,141.14,136.28
05/24/2023,129.34,7897087,128.73,129.645,127.95
05/23/2023,131.27,4853834,132.41,133.04,131.08
05/22/2023,133.19,4235142,132.15,133.61,131.97
05/19/2023,133.30,5312965,133.77,133.93,132.58
05/18/2023,134.04,9632610,130.10,134.31,130.10
05/17/2023,129.50,6322773,127.29,129.94,126.80
05/16/2023,126.09,5126398,125.71,127.42,125.71
05/15/2023,126.12,6192761,123.08,126.12,122.845
05/12/2023,122.90,3364892,123.47,123.8878,121.81
05/11/2023,123.04,5339534,123.79,124.03,121.89
05/10/2023,124.14,5474872,124.44,125.04,122.97
05/09/2023,123.14,4951653,123.59,123.77,122.74
05/08/2023,125.07,3918938,123.98,125.15,123.37
05/05/2023,124.38,5553204,122.16,124.97,121.59
05/04/2023,121.805,5889236,121.645,122.8175,120.935
05/03/2023,122.215,8223032,122.85,124.30,122.075
05/02/2023,123.49,6717686,124.53,125.18,122.50
05/01/2023,124.57,5202088,123.985,124.96,123.665
04/28/2023,123.625,7553466,122.25,123.625,121.78
04/27/2023,121.59,6814222,120.56,121.76,118.57
04/26/2023,120.425,7695312,120.805,121.615,119.845
04/25/2023,119.59,10464576,122.53,122.545,119.535
04/24/2023,123.505,4489098,123.90,124.68,122.715
04/21/2023,124.17,5202358,124.59,125.32,123.285
04/20/2023,125.455,5879700,124.50,127.275,124.405
04/19/2023,125.315,5013022,124.78,125.53,124.5001
04/18/2023,126.515,5703642,127.095,127.91,125.56
04/17/2023,125.95,5297078,124.90,125.99,124.325
04/14/2023,126.04,4901284,126.105,127.48,124.6614
04/13/2023,126.175,5760774,125.50,126.89,124.59
04/12/2023,125.165,7748904,128.53,128.76,125.065
04/11/2023,127.43,6288960,128.575,128.76,127.24
04/10/2023,128.11,5991296,125.0475,128.18,124.845
04/06/2023,126.20,7448080,125.32,127.02,124.64
04/05/2023,126.58,10065976,127.515,127.7211,125.215
04/04/2023,128.835,8057632,131.11,131.265,128.205
04/03/2023,130.845,8036492,130.925,131.415,129.305
03/31/2023,131.595,7281628,129.69,131.785,129.43
03/30/2023,130.685,7807068,130.165,131.52,129.791
03/29/2023,128.84,9979202,126.82,129.565,126.82
03/28/2023,124.95,7771404,125.33,125.5625,123.216
03/27/2023,125.825,7025660,127.64,128.00,125.4375
03/24/2023,127.31,11042914,128.595,128.81,126.005
03/23/2023,129.355,10950910,128.415,130.96,127.31
03/22/2023,126.005,8938034,127.01,130.44,126.005
03/21/2023,126.82,11118200,127.44,128.685,124.80
03/20/2023,126.42,6521364,125.50,126.79,124.35
03/17/2023,125.16,9868572,125.945,127.09,124.625
03/16/2023,125.80,14746404,120.27,125.985,119.89
03/15/2023,120.96,12602294,120.50,121.25,118.535
03/14/2023,122.335,11314508,120.70,122.995,120.485
03/13/2023,118.78,9831434,117.36,120.25,116.39
03/10/2023,118.86,13168186,121.235,121.925,118.26
03/09/2023,120.815,8222930,122.96,124.78,120.57
03/08/2023,123.175,8112884,120.66,123.27,120.41
03/07/2023,120.035,6616626,121.445,122.00,119.53
03/06/2023,121.39,6485374,122.82,123.915,121.14
03/03/2023,122.48,5385168,120.85,122.59,119.92
03/02/2023,120.84,6530442,118.18,121.365,117.345
03/01/2023,119.78,4725784,120.22,121.275,119.325
02/28/2023,119.70,4770542,119.30,121.295,119.095
02/27/2023,119.64,5851976,120.995,121.165,119.555
02/24/2023,119.105,6208188,118.85,119.69,118.215
02/23/2023,121.27,11583204,121.13,121.855,119.155
02/22/2023,117.12,6987618,117.915,118.855,116.545
02/21/2023,117.695,7695880,119.505,120.775,117.565
02/17/2023,121.385,7574898,122.20,122.58,120.30
02/16/2023,123.065,5418086,123.89,125.03,122.90
02/15/2023,126.50,7125120,124.84,126.57,123.775
02/14/2023,126.505,9481956,123.00,126.885,122.29
02/13/2023,123.84,4030360,122.53,124.165,121.635
02/10/2023,122.005,7529836,122.685,123.125,120.775
02/09/2023,124.09,8767106,125.84,127.2975,123.175
02/08/2023,123.60,7844728,125.505,126.345,123.305
02/07/2023,126.07,10309114,122.775,126.635,122.50
